company,date,open,high,low,close
GOOG,2020-11-13,1757.63,1781.04,1744.55,1777.02
GOOG,2020-11-16,1771.7,1799.07,1767.69,1781.38
GOOG,2020-11-17,1776.94,1785,1767,1770.15
GOOGL,2020-10-19,1575.93,1583.92,1522.92,1529.95
GOOGL,2020-10-20,1523.11,1573.84,1520.5,1551.08
GOOGL,2020-10-21,1569.85,1615.14,1567.14,1585.99
GOOGL,2020-10-22,1585,1613.42,1577.48,1606.66
GOOGL,2020-10-23,1615.05,1634.12,1611.91,1632.98
GOOGL,2020-10-26,1615,1629.58,1567.78,1584.29
GOOGL,2020-10-27,1588.93,1602,1576.99,1598.88
GOOGL,2020-10-28,1550.01,1553.81,1508.48,1510.8
GOOGL,2020-10-29,1517.02,1588.74,1516.55,1556.88
GOOGL,2020-10-30,1667.44,1681.32,1601.57,1616.11
GOOGL,2020-11-02,1623.54,1658.24,1614.24,1624.32
GOOGL,2020-11-03,1630.76,1659,1612.11,1645.66
GOOGL,2020-11-04,1705.58,1770.03,1703,1745.85
GOOGL,2020-11-05,1770.45,1791.82,1741.03,1762.5
GOOGL,2020-11-06,1751.34,1768.49,1736.68,1759.73
GOOGL,2020-11-09,1795.98,1816.89,1757.55,1761.42
GOOGL,2020-11-10,1729.77,1759.38,1716.12,1737.72
GOOGL,2020-11-11,1748.4,1762.9,1743.06,1747.23
GOOGL,2020-11-12,1742,1764.98,1737.97,1742.82
GOOGL,2020-11-13,1748,1777.13,1735.98,1772.26
GOOGL,2020-11-16,1764.14,1794.34,1761.33,1774.03
GOOGL,2020-11-17,1767.86,1777.14,1759.49,1761.66
FB,2020-10-19,265.53,268.55,259.88,261.4
FB,2020-10-20,263.06,269.7,262.88,267.56
FB,2020-10-21,279.56,283.05,276.37,278.73
FB,2020-10-22,279.87,282.45,275.04,278.12
FB,2020-10-23,278.8,285.24,276.82,284.79
FB,2020-10-26,283.16,285.23,274.26,277.11
FB,2020-10-27,278.76,284.51,276.31,283.29
FB,2020-10-28,278.79,278.79,267.26,267.67
FB,2020-10-29,276.55,283.6,273.78,280.83
FB,2020-10-30,274.5,276.7,259.1,263.11
FB,2020-11-02,264.6,270.47,257.34,261.36
FB,2020-11-03,263.16,270.05,260.88,265.3
FB,2020-11-04,281,288.94,278.62,287.38
FB,2020-11-05,291.9,297.38,288.95,294.68
FB,2020-11-06,293.95,294.6,288.06,293.41
FB,2020-11-09,289.87,292.58,278.53,278.77
FB,2020-11-10,273.1,274,264,272.43
FB,2020-11-11,273.47,278.4,272.48,276.48
FB,2020-11-12,277.18,279.75,274.43,275.08
FB,2020-11-13,277.72,277.76,273.1,276.95
FB,2020-11-16,275.05,279.41,274.63,278.96
FB,2020-11-17,277.68,277.68,273.29,275
BABA,2020-10-19,309.89,313.81,303.41,305.29
BABA,2020-10-20,307.6,311.8,307.06,309.81
BABA,2020-10-21,311.75,314,307.7,307.97
BABA,2020-10-22,311.46,311.85,304.21,306.28
BABA,2020-10-23,307.27,310.33,304.06,309.92
BABA,2020-10-26,309.92,315.46,303.2,306.87
BABA,2020-10-27,307.75,319.32,305.61,317.14
BABA,2020-10-28,313.5,313.5,306,307.94
BABA,2020-10-29,309.44,315.58,308.91,312.56
BABA,2020-10-30,308.55,310.83,300.19,304.69
BABA,2020-11-02,310.95,311.44,305.39,310.84
BABA,2020-11-03,286.2,294.28,280.78,285.57
BABA,2020-11-04,287.79,299.17,285.3,295.71
BABA,2020-11-05,289.09,291.25,279.6,287.75
BABA,2020-11-06,291.49,300.89,289.79,299.95
BABA,2020-11-09,303.77,304,290.5,290.53
BABA,2020-11-10,279.97,280,264.33,266.54
BABA,2020-11-11,261.92,271.92,261.2,265.65
BABA,2020-11-12,271.04,271.2,263.04,264.31
BABA,2020-11-13,264.72,265.44,257.17,260.84
BABA,2020-11-16,260.42,262.57,257.03,258.31
BABA,2020-11-17,260.28,260.28,256.54,256.8
NVDA,2020-10-19,556.12,559.34,536.27,539.91
NVDA,2020-10-20,543.34,551.99,540.28,545.82
NVDA,2020-10-21,545,551.66,539.1,540.99
NVDA,2020-10-22,540.9,544.47,529.27,534.44
NVDA,2020-10-23,538,543.73,531.65,543.61
NVDA,2020-10-26,537.08,547.71,521.54,525.65
NVDA,2020-10-27,532.24,537.68,527.66,535.87
NVDA,2020-10-28,527.92,530.4,504.36,505.08
NVDA,2020-10-29,513.54,527.71,510,520.96
NVDA,2020-10-30,514,517.46,492,501.36
NVDA,2020-11-02,506.31,513.47,495.8,503.23
NVDA,2020-11-03,508.34,524.2,504.11,520.78
NVDA,2020-11-04,535.57,553.1,533.48,551.77
NVDA,2020-11-05,566.5,573.56,559.64,566.4
NVDA,2020-11-06,564.39,583.55,555.8,582.48
NVDA,2020-11-09,582.1,587.66,544.43,545.23
NVDA,2020-11-10,544.26,544.26,505.13,510.8
NVDA,2020-11-11,522.15,537.4,517.93,536.72
NVDA,2020-11-12,539.16,550.64,532.64,538.27
NVDA,2020-11-13,545.09,546.75,522.37,531.88
NVDA,2020-11-16,526.9,545.98,526.24,540.61
NVDA,2020-11-17,542.1,543.85,532.16,536.89
DIS,2020-10-19,127.37,127.4,123.71,124.23
DIS,2020-10-20,124.58,125.73,123.64,124.95
DIS,2020-10-21,124.36,127.56,123.84,126.63
DIS,2020-10-22,126.67,128.1,125.97,127.56
DIS,2020-10-23,128.1,128.5,126.35,128.35
DIS,2020-10-26,127.11,127.11,122.95,124.06
DIS,2020-10-27,124.03,124.61,123.03,123.31
DIS,2020-10-28,121.01,121.53,118.32,118.47
DIS,2020-10-29,118.16,122.63,117.23,121.54
DIS,2020-10-30,120.64,121.75,119.09,121.25
DIS,2020-11-02,122.24,122.93,119.81,120.13
DIS,2020-11-03,121.61,125.07,121.37,124.02
DIS,2020-11-04,123.58,126.86,123.41,125.07
DIS,2020-11-05,126.78,128.62,125.8,126.96
DIS,2020-11-06,126.26,128.04,124.62,127.46
DIS,2020-11-09,140.26,147.68,138.07,142.59
DIS,2020-11-10,139.97,142.37,137.67,142.11
DIS,2020-11-11,141.47,142,136.62,137.82
DIS,2020-11-12,136.34,138.49,134.11,135.52
DIS,2020-11-13,140.9,141.19,136.52,138.36
DIS,2020-11-16,141.57,144.74,141.57,144.67
DIS,2020-11-17,144.4,144.83,142.56,144.5
CRM,2020-10-19,259.76,261.48,254.5,255.01
CRM,2020-10-20,256.12,259.18,254.05,255.97
